n,np,time_serial_s,time_mpi_max_s,speedup
69,3,1e-06,4e-06,0.25
69,4,0.0,5e-06,0.0
69,5,0.0,5e-06,0.0
69,6,0.0,1.1e-05,0.0
69,7,0.0,1e-05,0.0
69,8,1e-06,9e-06,0.111
69,9,0.0,1.1e-05,0.0
69,10,0.0,1.4e-05,0.0
70,1,0.0,2e-06,0.0
70,2,1e-06,4e-06,0.25
70,3,0.0,4e-06,0.0
70,4,0.0,1.6e-05,0.0
70,5,0.0,9e-06,0.0
70,6,0.0,1.6e-05,0.0
70,7,0.0,1.3e-05,0.0
70,8,0.0,1.3e-05,0.0
70,9,0.0,1.2e-05,0.0
70,10,0.0,1.4e-05,0.0
71,1,0.0,3e-06,0.0
71,2,0.0,4e-06,0.0
71,3,0.0,4e-06,0.0
71,4,0.0,4e-06,0.0
71,5,0.0,7e-06,0.0
71,6,0.0,1e-05,0.0
71,7,1e-06,9e-06,0.111
71,8,0.0,1.1e-05,0.0
71,9,0.0,1e-05,0.0
71,10,0.0,1.3e-05,0.0
72,1,0.0,2e-06,0.0
72,2,0.0,4e-06,0.0
72,3,0.0,4e-06,0.0
72,4,0.0,7e-06,0.0
72,5,0.0,1.4e-05,0.0
72,6,0.0,1e-05,0.0
72,7,0.0,8e-06,0.0
72,8,0.0,1.1e-05,0.0
72,9,0.0,1.1e-05,0.0
72,10,0.0,1.3e-05,0.0
73,1,0.0,3e-06,0.0
73,2,0.0,5e-06,0.0
73,3,0.0,5e-06,0.0
73,4,0.0,4e-06,0.0
73,5,0.0,6e-06,0.0
73,6,0.0,1.1e-05,0.0
73,7,0.0,1e-05,0.0
73,8,0.0,1.1e-05,0.0
73,9,0.0,1.2e-05,0.0
73,10,0.0,1.3e-05,0.0
74,1,0.0,6e-06,0.0
74,2,0.0,4e-06,0.0
74,3,0.0,5e-06,0.0
74,4,0.0,5e-06,0.0
74,5,0.0,6e-06,0.0
74,6,0.0,1e-05,0.0
74,7,0.0,1.2e-05,0.0
74,8,0.0,9e-06,0.0
74,9,0.0,1.6e-05,0.0
74,10,0.0,1.3e-05,0.0
75,1,1e-06,2e-06,0.5
75,2,0.0,3e-06,0.0
75,3,1e-06,4e-06,0.25
75,4,0.0,5e-06,0.0
75,5,0.0,5e-06,0.0
75,6,0.0,1.1e-05,0.0
75,7,1e-06,1.1e-05,0.091
75,8,0.0,1.5e-05,0.0
75,9,0.0,1.2e-05,0.0
75,10,0.0,1.7e-05,0.0
76,1,0.0,3e-06,0.0
76,2,0.0,3e-06,0.0
76,3,1e-06,5e-06,0.2
76,4,0.0,1.8e-05,0.0
76,5,0.0,5e-06,0.0
76,6,1e-06,1e-05,0.1
76,7,1e-06,1.1e-05,0.091
76,8,0.0,1.6e-05,0.0
76,9,0.0,1.5e-05,0.0
76,10,0.0,1.4e-05,0.0
77,1,1e-06,4e-06,0.25
77,2,1e-06,1.4e-05,0.071
77,3,1e-06,4e-06,0.25
77,4,0.0,4e-06,0.0
77,5,1e-06,6e-06,0.167
77,6,0.0,9e-06,0.0
77,7,0.0,9e-06,0.0
77,8,0.0,1e-05,0.0
77,9,0.0,1.7e-05,0.0
77,10,0.0,1.6e-05,0.0
78,1,0.0,3e-06,0.0
78,2,0.0,3e-06,0.0
